experimento,hiperparametro,valor_hiperparametro,metrica,estimacion_original,SE_bootstrap,sesgo_bootstrap,|sesgo|/SE
profundidad_maxima,max_depth,5,error_test,0.008511096746390837,0.0004764608439446856,-1.047188106011697e-05,0.021978471459309874
profundidad_maxima,max_depth,5,f1_test,0.9821098437959963,0.0010569873809576616,2.283898208410573e-05,0.021607620389387187
profundidad_maxima,max_depth,5,recall_test,0.9702412868632705,0.001776285661619193,4.2895442359469627e-05,0.024148954915487977
profundidad_maxima,max_depth,5,auc_test,0.9969213431315683,0.00033530474845056533,6.996999327713027e-07,0.0020867581983392666
profundidad_maxima,max_depth,5,gap_accuracy,0.002938598825681101,0.0005832463160897295,-2.4153070411163293e-05,0.04141144100676577
profundidad_maxima,max_depth,None,accuracy_test,0.9934927817280759,0.00032268085447710446,-5.623787976638539e-06,0.017428328636825183
profundidad_maxima,max_depth,None,error_test,0.006507218271924131,0.00034179827442229504,1.1570782159017051e-05,0.03385266405622996
profundidad_maxima,max_depth,None,f1_test,0.9863925241558232,0.0007141158756176347,3.4255488897461106e-05,0.04796909026540508
profundidad_maxima,max_depth,None,recall_test,0.9789991063449508,0.0013203589716485624,-9.016979445930495e-05,0.06829187849325667
profundidad_maxima,max_depth,None,auc_test,0.9975797476756596,0.00028061986398700365,-2.1283300830621243e-06,0.007584388549061138
profundidad_maxima,max_depth,None,gap_accuracy,0.006257703439653557,0.00036093695056784385,-6.902246087490266e-06,0.01912313515319313
variables_por_split,max_features,None,accuracy_test,0.9894634776987719,0.0004811363943444812,2.2775263951779756e-05,0.04733639820119959
variables_por_split,max_features,None,error_test,0.01053652230122815,0.0005223630215549868,1.6677440206851538e-05,0.031926915801209675
variables_por_split,max_features,None,f1_test,0.977991736085625,0.0010305872232347377,5.3425313229604754e-05,0.05183968132451418
variables_por_split,max_features,None,recall_test,0.9715817694369974,0.0016641019202078475,3.02949061661284e-05,0.0182049583611709
variables_por_split,max_features,None,auc_test,0.9957480212467631,0.0003957595028435775,8.465706938909356e-06,0.021391038946840895
variables_por_split,max_features,None,gap_accuracy,0.010287007468957577,0.0004883838945150649,-6.839856925474827e-06,0.01400508289133159
variables_por_split,max_features,log2,accuracy_test,0.9934927817280759,0.000341981366106174,-4.912734324458157e-06,0.014365502952382831
variables_por_split,max_features,log2,error_test,0.006507218271924131,0.0003441454416255364,1.1463046757164731e-05,0.03330872756303318
variables_por_split,max_features,log2,f1_test,0.9863925241558232,0.0007113633408970237,1.642350736252851e-05,0.02308736818208624
variables_por_split,max_features,log2,recall_test,0.9789991063449508,0.0013018317804009744,3.261840929402737e-05,0.025055778930193767
variables_por_split,max_features,log2,auc_test,0.9975797476756596,0.0002922539092400781,2.0065752914799617e-06,0.006865862963809385
variables_por_split,max_features,log2,gap_accuracy,0.006257703439653557,0.00034346999292815745,6.493478797333155e-06,0.01890551993195917
variables_por_split,max_features,sqrt,accuracy_test,0.9934927817280759,0.0003397037240861353,-6.0116354233530345e-06,0.017696701558175217
variables_por_split,max_features,sqrt,error_test,0.006507218271924131,0.00034313775577167347,7.088989441930878e-06,0.020659310503411774
variables_por_split,max_features,sqrt,f1_test,0.9863925241558232,0.0007101479300563059,-1.9017295270762347e-06,0.0026779343381673325
variables_por_split,max_features,sqrt,recall_test,0.9789991063449508,0.0013298464530532884,-2.3949955317181804e-05,0.018009564384063596
variables_por_split,max_features,sqrt,auc_test,0.9975797476756596,0.00028924702688254027,-6.165344452968569e-06,0.02131515237828958
variables_por_split,max_features,sqrt,gap_accuracy,0.006257703439653557,0.0003585938142832565,-1.2347671789279813e-05,0.034433588359464216
